Plot,UTMEast,UTMNorth,UTMGrid,Latitude,Longitude,PointLocation,PlotAreaActual (ha),Elevation Mean (m),Aspect Mean (Degrees),Slope Mean (Percent),Year of Establishment,Wilderness,Forest Type
CIRQUE,386981.62,4037564.62,NAD83,36.47686935,-118.2595549,W corner,1.992,3489.646465,235.969697,49.32585051,1993,Y,foxtail pine (subalpine)
GIBBS,304359.46,4192794.32,NAD83,37.8616353,-119.2240371,W corner,2.395,3412.995902,226.8155738,,1996,Y,whitebark pine (subalpine)
ROCRPICO,385866.68,4038442.47,NAD83,36.4845142,-118.2741574,SW corner,0.999,3369.6,217.11,4.112908542,2010,Y,lodgepole
EMRIDGE,350749.8,4051384.1,NAD83,36.59630045,-118.6686916,SW corner/SOUTH,1.163,3100.623932,265.8290598,48.48277744,1985,Y,western white pine
EMSLOPE,350429.9,4051641.8,NAD83,36.59851395,-118.6721825,SW corner/SOUTH,0.88,2958.539326,247.3370787,60.68051203,1983,Y,western white pine
EMSALIX,350160.1,4051336.7,NAD83,36.59574238,-118.6750515,SW corner/SOUTH,0.971,2837.540816,283.4183673,27.11650981,1983,Y,western white pine
HOMEPICO,351969.89,4026329.02,NAD83,36.37067,-118.65015,SW corner,0.999,2617.38,260.94,7.316197605,2010,Y,lodgepole
PGABMA,347654.9,4050302.87,NAD83,36.58605275,-118.7029752,SW corner,0.977,2573.473684,276.6315789,30.91279324,1992,N,red fir
POFLABMA,274656.3,4188650.6,NAD83,37.81749117,-119.5601056,SW corner,1.017,2540.019802,181.5841584,,1994,Y,red fir
WTABMA,347125.32,4051831.75,NAD83,36.59970984,-118.7091892,SW corner/SOUTH,0.987,2522.142857,337.0306122,31.71394054,1993,N,red fir
SFTRABMA,262797.65,4192252.52,NAD83,37.84723783,-119.6967904,SW corner,1.005,2469.529412,62.59803922,,1992,Y,red fir
LOGPIJE,345131.93,4048224.63,NAD83,36.56690374,-118.7307142,SW corner,1.017,2404.981132,192.3679245,31.46785263,1985,N,jeffrey pine
UPLOG,344860,4047399.6,NAD83,36.55949807,-118.7335546,SW corner,0.936,2212.402062,276.2268041,38.89670782,1985,N,white fir-mixed conifer
LOLOG,344548.46,4047305.45,NAD83,36.55850899,-118.7370967,SW corner,1.071,2204.711712,224.5585586,31.52181438,1985,N,giant sequoia-mixed conifer
UPTHAR,344024.14,4047992.15,NAD83,36.56465964,-118.743045,SW corner,1.003,2185.968421,149.2315789,36.62411812,1984,N,white fir-mixed conifer
LOGSEGI,344697.58,4047448.73,NAD83,36.55990471,-118.7353403,SW corner,2.492,2174.640496,268.107438,21.9668172,1983,N,giant sequoia-mixed conifer
LOTHAR,344061.1,4047688.36,NAD83,36.56189885,-118.7426031,SW corner,1.085,2136.118182,132.1272727,25.58577158,1984,N,white fir-mixed conifer
FFS2BURN,343733.64,4051369.76,NAD83,36.59505986,-118.7469705,SW corner,0.978,2134.213592,322.9514563,25.88266076,2001,N,white fir-mixed conifer
LMCC,344267.65,4047726.85,NAD83,36.56439674,-118.7400668,W corner,2.021,2104.547264,202.1791045,20.43169107,1982,N,giant sequoia-mixed conifer
FRPIJE,343869.14,4052753.59,NAD83,36.60745405,-118.7457295,W corner,0.997,2103.58,199.99,39.00153997,1983,N,jeffrey pine
SUPILA,339187,4052363.4,NAD83,36.60317754,-118.7974505,SE corner/SW,1.088,2055.682243,143.3457944,21.50197231,1982,Y,white fir-mixed conifer
SUWANEE COMBINED,339261.39,4052163.26,NAD83,36.60317754,-118.7974505,SW corner,3.357,2041.474474,188.8828829,22.43904271,1983,Y,white fir-mixed conifer
SURIP,339204.5,4052236.25,NAD83,36.60199243,-118.7977361,SW corner,1.406,2035.633094,189.1798561,22.55943066,1982,Y,white fir-mixed conifer
SUABCO,339261.39,4052163.26,NAD83,36.60317754,-118.7974505,SW corner (old point was NW corner),0.863,2033.333333,244.4137931,23.41885443,1983,Y,white fir-mixed conifer
FFS6BURN,342588.25,4050298.91,NAD83,36.58518457,-118.7595567,SW corner,0.932,2027.663043,170.0869565,26.60216475,2001,Y,white fir-mixed conifer
FFS5BURN,342973.12,4050251.01,NAD83,36.58480657,-118.755245,SW corner,0.982,2014.443299,275.2886598,38.12921339,2001,Y,white fir-mixed conifer
FFS7CONTROL,342282.08,4049874.27,NAD83,36.581269,-118.7628431,SW corner,0.984,1934.442105,204.2736842,13.61337123,2001,Y,white fir-mixed conifer
CRCRPIPO,255941.58,4179571.55,NAD83,37.73075469,-119.7692514,SW corner,0.995,1640.465347,109.1188119,,1993,N,ponderosa pine-mixed conifer
CCRPIPO,338880.25,4048721.82,NAD83,36.57036473,-118.800612,SW corner,1.117,1618.272727,189.1,23.5530999,1991,Y,ponderosa pine-mixed conifer
BBBPIPO,339875.45,4048134.25,NAD83,36.56521557,-118.7894078,W corner,1.004,1617.683673,216.1326531,35.68343982,1992,Y,ponderosa pine-mixed conifer
YOHOPIPO,247412.05,4187654.85,NAD83,37.8012519,-119.8694303,SW corner,0.98,1497.05102,148.744898,,1991,N,ponderosa pine-mixed conifer
